trainable params: 294,912 || all params: 124,737,024 || trainable%: 0.2364
{'loss': 2.2196, 'grad_norm': 1.2669219970703125, 'learning_rate': 0.0002475, 'epoch': 0.02}
{'loss': 1.0248, 'grad_norm': 1.1158983707427979, 'learning_rate': 0.0004975, 'epoch': 0.03}
{'loss': 0.8707, 'grad_norm': 1.0567224025726318, 'learning_rate': 0.0004999998518124738, 'epoch': 0.05}
{'loss': 0.8426, 'grad_norm': 0.9149104952812195, 'learning_rate': 0.0004999994012475809, 'epoch': 0.07}
{'loss': 0.8084, 'grad_norm': 0.757973313331604, 'learning_rate': 0.0004999986482907465, 'epoch': 0.09}
{'loss': 0.7989, 'grad_norm': 0.8663517236709595, 'learning_rate': 0.0004999975929428814, 'epoch': 0.1}
{'loss': 0.7989, 'grad_norm': 0.6257919073104858, 'learning_rate': 0.000499996235205262, 'epoch': 0.12}
{'loss': 0.7924, 'grad_norm': 0.5966111421585083, 'learning_rate': 0.0004999945750795307, 'epoch': 0.14}
{'loss': 0.7889, 'grad_norm': 0.609197735786438, 'learning_rate': 0.0004999926125676956, 'epoch': 0.16}
{'loss': 0.7692, 'grad_norm': 0.5154892802238464, 'learning_rate': 0.0004999903476721303, 'epoch': 0.17}
{'loss': 0.7623, 'grad_norm': 0.6781349182128906, 'learning_rate': 0.0004999877803955746, 'epoch': 0.19}
{'loss': 0.769, 'grad_norm': 0.5300055146217346, 'learning_rate': 0.0004999849107411335, 'epoch': 0.21}
{'loss': 0.7622, 'grad_norm': 0.4588400721549988, 'learning_rate': 0.0004999817387122783, 'epoch': 0.23}
{'loss': 0.7596, 'grad_norm': 0.6572237014770508, 'learning_rate': 0.0004999782643128458, 'epoch': 0.24}
{'loss': 0.7575, 'grad_norm': 0.5271064043045044, 'learning_rate': 0.0004999744875470384, 'epoch': 0.26}
{'loss': 0.753, 'grad_norm': 0.45850124955177307, 'learning_rate': 0.0004999704084194242, 'epoch': 0.28}
{'loss': 0.7484, 'grad_norm': 0.5288875102996826, 'learning_rate': 0.0004999660269349377, 'epoch': 0.3}
{'loss': 0.7604, 'grad_norm': 0.5406294465065002, 'learning_rate': 0.0004999613430988781, 'epoch': 0.31}
{'loss': 0.7519, 'grad_norm': 0.5057215690612793, 'learning_rate': 0.0004999563569169111, 'epoch': 0.33}
{'loss': 0.7332, 'grad_norm': 0.4710211753845215, 'learning_rate': 0.0004999510683950679, 'epoch': 0.35}
{'loss': 0.7494, 'grad_norm': 0.5679595470428467, 'learning_rate': 0.0004999454775397451, 'epoch': 0.37}
{'loss': 0.7387, 'grad_norm': 0.5420671701431274, 'learning_rate': 0.0004999395843577054, 'epoch': 0.38}
{'loss': 0.7453, 'grad_norm': 0.6678371429443359, 'learning_rate': 0.0004999333888560769, 'epoch': 0.4}
{'loss': 0.7333, 'grad_norm': 0.5210224390029907, 'learning_rate': 0.0004999268910423538, 'epoch': 0.42}
{'loss': 0.7414, 'grad_norm': 0.48526427149772644, 'learning_rate': 0.0004999200909243952, 'epoch': 0.44}
{'loss': 0.7371, 'grad_norm': 0.42873865365982056, 'learning_rate': 0.0004999129885104267, 'epoch': 0.45}
